active,quiet,arrested,tension
0,1110,0,0.18617331116530036
4,1088,18,0.18248338968274486
0,1088,22,0.18248338968274486
0,1088,22,0.18248338968274486
0,1088,22,0.18248338968274486
0,1088,22,0.18248338968274486
0,1088,22,0.18248338968274486
0,1088,22,0.18248338968274486
0,1088,22,0.18248338968274486
0,1088,22,0.18248338968274486
0,1088,22,0.18248338968274486
0,1088,22,0.18248338968274486
0,1088,22,0.18248338968274486
0,1088,22,0.18248338968274486
2,1087,21,0.18231566597899232
0,1087,23,0.18231566597899232
0,1087,23,0.18231566597899232
0,1087,23,0.18231566597899232
11,1071,28,0.17963208671895195
49,1015,46,0.17023955930881068
145,863,102,0.1447455563384272
321,595,194,0.09979560373275109
252,577,281,0.09677657706520568
167,580,363,0.09727974817646325
72,600,438,0.10063422225151371
7,627,476,0.10516276225283182
0,644,466,0.10801406521662471
0,657,453,0.1101944733654075
0,674,436,0.1130457763292004
0,701,409,0.1175743163305185
0,716,394,0.12009017188680635
0,729,381,0.12227058003558915
0,745,365,0.1249541592956295
0,770,340,0.1291472518894426
0,789,321,0.13233400226074052
0,806,304,0.1351853052245334
0,821,289,0.13770116078082126
0,834,276,0.13988156892960404
0,856,254,0.14357149041215955
0,875,235,0.14675824078345748
0,888,222,0.1489386489322403
0,909,201,0.15246084671104326
0,929,181,0.15581532078609373
0,944,166,0.15833117634238156
0,952,158,0.15967296597240174
1,964,145,0.16168565041743202
25,945,140,0.15849890004613407
79,881,150,0.14776458300597264
133,773,204,0.12965042300070015
219,608,283,0.10197601188153388
163,592,355,0.09929243262149352
76,618,416,0.10365324891905911
3,668,439,0.11203943410668525
0,703,407,0.11790976373802356
0,723,387,0.12126423781307402
0,741,369,0.12428326448061941
0,760,350,0.12747001485191736
2,772,336,0.1294826992969476
1,792,317,0.13283717337199807
0,808,302,0.13552075263203847
0,829,281,0.13904295041084144
0,843,267,0.14139108226337674
1,851,258,0.14273287189339695
0,864,246,0.14491328004217974
0,874,236,0.14659051707970494
12,869,229,0.14575189856094237
28,838,244,0.14055246374461414
39,807,264,0.13535302892828593
4,824,282,0.1382043318920788
2,842,266,0.14122335855962423
