index,cop_density,legitimacy,active_threshold,cv
0,0.0184375,0.7296875,0.1203125,0.1213084249898045
1,0.0690625,0.7296875,0.1203125,5.162502152809776
2,0.0184375,0.6378125,0.1203125,0.1189004544206055
3,0.0184375,0.7296875,0.1953125,0.422645204516448
4,0.0184375,0.6378125,0.1953125,0.1800332054395389
5,0.0690625,0.7296875,0.1953125,3.559026084010437
6,0.0690625,0.6378125,0.1203125,3.969071601426117
7,0.0690625,0.6378125,0.1953125,1.5133153857640265
8,0.0634375,0.9746875,0.1953125,0.0
9,0.0240625,0.9746875,0.1953125,0.0
10,0.0634375,0.8828125,0.1953125,0.0
11,0.0634375,0.9746875,0.1203125,0.0
12,0.0634375,0.8828125,0.1203125,0.0
13,0.0240625,0.9746875,0.1203125,0.0
14,0.0240625,0.8828125,0.1953125,0.0
15,0.0240625,0.8828125,0.1203125,0.0
16,0.0859375,0.6071875,0.0828125,3.8755452803464334
17,0.0915625,0.6071875,0.0828125,1.5365505700500024
18,0.0859375,0.7603125,0.0828125,3.832118562151981
19,0.0859375,0.6071875,0.0828125,0.9810907306932612
20,0.0859375,0.7603125,0.0828125,1.405563856997455
21,0.0915625,0.6071875,0.0828125,1.208304597359457
22,0.0915625,0.7603125,0.0828125,3.961966713213965
23,0.0915625,0.7603125,0.0828125,1.3290400126665254
24,0.0409375,0.8521875,0.1578125,0.0
25,0.0465625,0.8521875,0.1578125,0.0
26,0.0409375,0.5153125,0.1578125,0.8100904104480675
27,0.0409375,0.8521875,0.1578125,0.0
28,0.0409375,0.5153125,0.1578125,0.785220905402684
29,0.0465625,0.8521875,0.1578125,0.0
30,0.0465625,0.5153125,0.1578125,1.512568922127981
31,0.0465625,0.5153125,0.1578125,0.7691401121425511
32,0.0521875,0.5459375,0.1765625,1.384763844582772
33,0.0353125,0.5459375,0.1765625,0.6101352934966754
34,0.0521875,0.5765625,0.1765625,2.603240116802688
35,0.0521875,0.5459375,0.1765625,1.4151648069112317
36,0.0521875,0.5765625,0.1765625,1.4756440481526052
37,0.0353125,0.5459375,0.1765625,1.0931910643338911
38,0.0353125,0.5765625,0.1765625,1.100237760753697
39,0.0353125,0.5765625,0.1765625,1.0519870130347364
40,0.0971875,0.7909375000000001,0.1015625,3.243556868165685
41,0.0803125,0.7909375000000001,0.1015625,2.964120144402496
42,0.0971875,0.8215625,0.1015625,6.324555320336758
43,0.0971875,0.7909375000000001,0.1015625,2.794622936170799
44,0.0971875,0.8215625,0.1015625,3.142857142857143
45,0.0803125,0.7909375000000001,0.1015625,4.3220365569948616
46,0.0803125,0.8215625,0.1015625,4.06105843710141
47,0.0803125,0.8215625,0.1015625,3.777619377764957
48,0.0746875,0.6684375,0.1390625,1.6741015301983944
49,0.0128125,0.6684375,0.1390625,0.024049658888978
50,0.0746875,0.9440625,0.1390625,0.0
51,0.0746875,0.6684375,0.0640625,2.3013541485165088
