active,quiet,arrested,tension
0,1098,0,0.17604295536878015
29,1043,26,0.16722477454429663
31,1009,58,0.16177353548916135
49,946,103,0.15167271018111658
19,924,155,0.14814543785132317
0,934,164,0.14974874345577474
0,938,160,0.15039006569755534
0,943,155,0.1511917184997811
0,947,151,0.15183304074156173
0,958,140,0.15359667690645845
0,963,135,0.1543983297086842
0,969,129,0.15536031307135514
0,975,123,0.1563222964340261
0,980,118,0.15712394923625186
0,985,113,0.1579256020384776
14,973,111,0.15600163531313577
1,977,120,0.1566429575549164
0,987,111,0.15824626315936793
0,990,108,0.15872725484070338
0,994,104,0.159368577082484
0,998,100,0.16000989932426465
0,1001,97,0.1604908910056001
0,1010,88,0.1619338660496065
0,1013,85,0.16241485773094197
1,1017,80,0.1630561799727226
0,1022,76,0.16385783277494836
0,1028,70,0.16481981613761928
1,1033,64,0.16562146893984506
2,1037,59,0.16626279118162568
0,1044,54,0.16738510510474175
0,1053,45,0.16882808014874814
0,1061,37,0.17011072463230942
0,1069,29,0.17139336911587064
0,1074,24,0.1721950219180964
0,1077,21,0.17267601359943188
0,1077,21,0.17267601359943188
0,1078,20,0.17283634415987703
0,1078,20,0.17283634415987703
0,1079,19,0.1729966747203222
11,1064,23,0.17059171631364486
22,1032,44,0.16546113837939994
9,1012,77,0.1622545271704968
0,1015,83,0.16273551885183227
0,1015,83,0.16273551885183227
0,1019,79,0.1633768410936129
5,1015,78,0.16273551885183227
0,1021,77,0.16369750221450322
4,1021,73,0.16369750221450322
0,1023,75,0.1640181633353935
0,1025,73,0.1643388244562838
0,1027,71,0.16465948557717414
0,1027,71,0.16465948557717414
1,1031,66,0.16530080781895473
0,1032,66,0.16546113837939994
0,1036,62,0.16610246062118053
0,1040,58,0.16674378286296113
0,1044,54,0.16738510510474175
1,1045,52,0.16754543566518693
0,1046,52,0.16770576622563207
0,1048,50,0.1680264273465224
0,1050,48,0.1683470884674127
20,1028,50,0.16481981613761928
41,980,77,0.15712394923625186
95,875,128,0.14028924038951057
169,731,198,0.11720163968540827
153,658,287,0.10549750877291195
76,647,375,0.10373387260801525
2,686,410,0.10998676446537628
0,697,401,0.111750400630273
0,710,388,0.11383469791606
0,730,368,0.11704130912496312
0,741,357,0.11880494528985981
1,758,339,0.12153056481742747
0,766,332,0.12281320930098868
1,783,314,0.12553882882855633
0,804,294,0.1289057705979046
0,817,281,0.1309900678836916
0,829,269,0.13291403460903345
0,841,257,0.13483800133437532
0,852,246,0.136601637499272
0,866,232,0.13884626534550418
0,883,215,0.14157188487307182
1,898,199,0.14397684327974916
0,908,190,0.14558014888420068
0,920,178,0.14750411560954255
0,934,164,0.14974874345577474
0,947,151,0.15183304074156173
0,958,140,0.15359667690645845
0,981,117,0.15728427979669699
0,994,104,0.159368577082484
0,1006,92,0.16129254380782587
0,1018,80,0.16321651053316774
10,1015,73,0.16273551885183227
0,1034,64,0.1657817995002902
0,1047,51,0.16786609678607722
1,1053,44,0.16882808014874814
0,1058,40,0.16962973295097392
0,1063,35,0.17043138575319972
0,1064,34,0.17059171631364486
0,1064,34,0.17059171631364486
0,1064,34,0.17059171631364486
0,1064,34,0.17059171631364486
0,1066,32,0.1709123774345352
0,1066,32,0.1709123774345352
0,1068,30,0.1712330385554255
0,1069,29,0.17139336911587064
0,1069,29,0.17139336911587064
0,1070,28,0.1715536996763158
0,1072,26,0.1718743607972061
0,1072,26,0.1718743607972061
0,1072,26,0.1718743607972061
0,1072,26,0.1718743607972061
0,1073,25,0.17203469135765126
0,1073,25,0.17203469135765126
2,1073,23,0.17203469135765126
2,1069,27,0.17139336911587064
0,1069,29,0.17139336911587064
1,1070,27,0.1715536996763158
1,1070,27,0.1715536996763158
2,1071,25,0.17171403023676093
0,1072,26,0.1718743607972061
0,1074,24,0.1721950219180964
