active,quiet,arrested,tension
0,1110,0,0.18617331116530036
12,1080,18,0.1811416000527247
126,935,49,0.15682166300860884
291,721,98,0.12092879040556898
350,603,157,0.10113739336277128
305,590,215,0.09895698521398849
250,591,269,0.099124708917741
199,590,321,0.09895698521398849
134,606,370,0.10164056447402883
85,619,406,0.10382097262281163
37,637,436,0.10683999929035705
12,652,446,0.1093558548466449
3,667,440,0.11187171040293273
3,678,429,0.11371667114421048
6,684,420,0.11472301336672563
8,699,403,0.11723886892301347
0,722,388,0.1210965141093215
0,739,371,0.12394781707311438
0,753,357,0.1262959489256497
1,770,339,0.1291472518894426
0,789,321,0.13233400226074052
1,807,302,0.13535302892828593
2,819,289,0.1373657133733162
7,831,272,0.1393783978183465
24,820,266,0.13753343707706875
15,812,283,0.13619164744704854
17,807,286,0.13535302892828593
14,808,288,0.13552075263203847
17,805,288,0.1350175815207809
12,808,290,0.13552075263203847
12,820,278,0.13753343707706875
3,840,267,0.1408879111521192
1,859,250,0.14407466152341714
6,875,229,0.14675824078345748
34,856,220,0.14357149041215955
53,823,234,0.13803660818832628
52,811,247,0.13602392374329603
50,796,264,0.13350806818700817
56,761,293,0.1276377385556699
58,741,311,0.12428326448061941
30,747,333,0.12528960670313458
11,754,345,0.1264636726294022
3,769,338,0.12897952818569008
0,778,332,0.13048904151946275
0,789,321,0.13233400226074052
0,796,314,0.13350806818700817
1,805,304,0.1350175815207809
2,816,292,0.13686254226205866
2,819,289,0.1373657133733162
0,832,278,0.139546121522099
7,836,267,0.1402170163371091
14,830,266,0.13921067411459398
17,830,263,0.13921067411459398
7,836,267,0.1402170163371091
8,841,261,0.14105563485587172
0,859,251,0.14407466152341714
1,891,218,0.14944182004349787
1,899,210,0.15078360967351806
3,905,202,0.15178995189603317
7,909,194,0.15246084671104326
13,906,191,0.15195767559978568
47,862,201,0.14457783263467466
77,802,231,0.1345144104095233
69,780,261,0.13082448892696782
61,760,289,0.12747001485191736
17,787,306,0.13199855485323547
5,811,294,0.13602392374329603
1,817,292,0.13703026596581117
3,831,276,0.1393783978183465
3,840,267,0.1408879111521192
7,845,258,0.14172652967088178
7,850,253,0.14256514818964441
16,849,245,0.14239742448589188
16,843,251,0.14139108226337674
24,833,253,0.1397138452258515
17,831,262,0.1393783978183465
6,837,267,0.1403847400408616
2,844,264,0.14155880596712928
0,858,252,0.1439069378196646
0,877,233,0.14709368819096255
25,853,232,0.14306831930090197
52,818,240,0.1371979896695637
86,765,259,0.12830863337067996
91,731,288,0.1226060274430942
72,719,319,0.12059334299806393
69,699,342,0.11723886892301347
52,691,367,0.11589707929299327
41,692,377,0.11606480299674579
25,711,374,0.11925155336804373
15,728,367,0.12210285633183662
21,734,355,0.12310919855435178
14,742,354,0.12445098818437193
23,742,345,0.12445098818437193
37,724,349,0.12143196151682654
49,711,350,0.11925155336804373
49,700,361,0.11740659262676598
43,689,378,0.11556163188548824
28,689,393,0.11556163188548824
19,697,394,0.11690342151550842
15,703,392,0.11790976373802356
11,724,375,0.12143196151682654
11,737,362,0.12361236966560933
18,735,357,0.12327692225810429
3,755,352,0.12663139633315476
6,771,333,0.12931497559319513
8,777,325,0.13032131781571024
23,773,314,0.12965042300070015
17,784,309,0.1314953837419779
26,781,303,0.13099221263072036
25,780,305,0.13082448892696782
24,789,297,0.13233400226074052
18,793,299,0.1330048970757506
19,801,290,0.1343466867057708
5,814,291,0.13652709485455358
2,830,278,0.13921067411459398
4,842,264,0.14122335855962423
5,849,256,0.14239742448589188
0,871,239,0.1460873459684474
0,873,237,0.14642279337595243
11,872,227,0.1462550696721999
27,857,226,0.14373921411591206
25,852,233,0.14290059559714946
10,859,241,0.14407466152341714
3,870,237,0.14591962226469488
