active,quiet,arrested,tension
0,1098,0,0.17604295536878015
26,1049,23,0.16818675790696752
2,1048,48,0.1680264273465224
0,1049,49,0.16818675790696752
0,1049,49,0.16818675790696752
0,1052,46,0.16866774958830302
0,1053,45,0.16882808014874814
0,1053,45,0.16882808014874814
0,1056,42,0.16930907183008362
0,1056,42,0.16930907183008362
0,1056,42,0.16930907183008362
0,1056,42,0.16930907183008362
0,1057,41,0.1694694023905288
0,1057,41,0.1694694023905288
0,1057,41,0.1694694023905288
1,1060,37,0.16995039407186424
0,1060,38,0.16995039407186424
0,1063,35,0.17043138575319972
0,1064,34,0.17059171631364486
0,1065,33,0.17075204687409004
0,1068,30,0.1712330385554255
0,1069,29,0.17139336911587064
0,1069,29,0.17139336911587064
0,1071,27,0.17171403023676093
1,1073,24,0.17203469135765126
0,1074,24,0.1721950219180964
1,1075,22,0.17235535247854158
0,1077,21,0.17267601359943188
0,1078,20,0.17283634415987703
0,1078,20,0.17283634415987703
0,1078,20,0.17283634415987703
0,1081,17,0.1733173358412125
1,1081,16,0.1733173358412125
0,1081,17,0.1733173358412125
0,1082,16,0.17347766640165765
0,1082,16,0.17347766640165765
0,1082,16,0.17347766640165765
0,1082,16,0.17347766640165765
0,1082,16,0.17347766640165765
0,1082,16,0.17347766640165765
8,1072,18,0.1718743607972061
20,1043,35,0.16722477454429663
1,1050,47,0.1683470884674127
0,1051,47,0.16850741902785785
0,1051,47,0.16850741902785785
0,1051,47,0.16850741902785785
0,1052,46,0.16866774958830302
0,1053,45,0.16882808014874814
0,1054,44,0.16898841070919332
0,1054,44,0.16898841070919332
0,1055,43,0.16914874126963847
0,1055,43,0.16914874126963847
0,1056,42,0.16930907183008362
0,1058,40,0.16962973295097392
0,1058,40,0.16962973295097392
18,1039,41,0.166583452302516
43,989,66,0.15856692428025826
29,968,101,0.15519998251091
0,976,122,0.1564826269944712
0,982,116,0.15744461035714216
0,985,113,0.1579256020384776
1,987,110,0.15824626315936793
0,990,108,0.15872725484070338
0,994,104,0.159368577082484
0,999,99,0.1601702298847098
2,1001,95,0.1604908910056001
0,1011,87,0.16209419661005167
2,1011,85,0.16209419661005167
0,1017,81,0.1630561799727226
0,1019,79,0.1633768410936129
0,1024,74,0.16417849389583866
0,1029,69,0.16498014669806443
0,1033,65,0.16562146893984506
0,1034,64,0.1657817995002902
0,1037,61,0.16626279118162568
0,1041,57,0.16690411342340633
1,1041,56,0.16690411342340633
0,1046,52,0.16770576622563207
0,1051,47,0.16850741902785785
0,1054,44,0.16898841070919332
0,1059,39,0.1697900635114191
2,1059,37,0.1697900635114191
0,1061,37,0.17011072463230942
1,1064,33,0.17059171631364486
0,1070,28,0.1715536996763158
0,1071,27,0.17171403023676093
2,1073,23,0.17203469135765126
0,1075,23,0.17235535247854158
0,1077,21,0.17267601359943188
1,1078,19,0.17283634415987703
0,1078,20,0.17283634415987703
0,1079,19,0.1729966747203222
0,1079,19,0.1729966747203222
0,1080,18,0.17315700528076733
0,1080,18,0.17315700528076733
0,1080,18,0.17315700528076733
0,1080,18,0.17315700528076733
1,1080,17,0.17315700528076733
0,1080,18,0.17315700528076733
0,1080,18,0.17315700528076733
0,1080,18,0.17315700528076733
0,1080,18,0.17315700528076733
0,1080,18,0.17315700528076733
0,1080,18,0.17315700528076733
0,1080,18,0.17315700528076733
0,1080,18,0.17315700528076733
19,1059,20,0.1697900635114191
54,995,49,0.15952890764292918
93,904,101,0.14493882664242005
117,831,150,0.13323469572992375
108,764,226,0.12249254818009839
38,762,298,0.12217188705920806
27,752,319,0.12056858145475652
1,760,337,0.12185122593831776
0,776,322,0.12441651490544026
0,781,317,0.125218167707666
0,795,303,0.1274627955538982
1,802,295,0.12858510947701426
0,820,278,0.13147105956502705
0,830,268,0.13307436516947863
0,845,253,0.1354793235761559
0,857,241,0.1374032903014978
0,867,231,0.13900659590594933
0,879,219,0.1409305626312912
0,889,209,0.14253386823574274
0,900,198,0.14429750440063943
8,899,191,0.14413717384019428
2,908,188,0.14558014888420068
1,923,174,0.14798510729087802
0,936,162,0.15006940457666504
0,949,149,0.15215370186245206
0,964,134,0.1545586602691294
0,977,121,0.1566429575549164
0,992,106,0.1590479159615937
0,998,100,0.16000989932426465
0,1012,86,0.1622545271704968
0,1021,77,0.16369750221450322
1,1028,69,0.16481981613761928
0,1037,61,0.16626279118162568
1,1049,48,0.16818675790696752
1,1061,36,0.17011072463230942
2,1067,29,0.1710727079949803
0,1071,27,0.17171403023676093
7,1063,28,0.17043138575319972
1,1059,38,0.1697900635114191
0,1059,39,0.1697900635114191
0,1061,37,0.17011072463230942
0,1063,35,0.17043138575319972
1,1066,31,0.1709123774345352
0,1067,31,0.1710727079949803
0,1070,28,0.1715536996763158
4,1066,28,0.1709123774345352
2,1068,28,0.1712330385554255
0,1068,30,0.1712330385554255
0,1069,29,0.17139336911587064
1,1070,27,0.1715536996763158
0,1072,26,0.1718743607972061
0,1074,24,0.1721950219180964
0,1074,24,0.1721950219180964
0,1074,24,0.1721950219180964
0,1074,24,0.1721950219180964
0,1075,23,0.17235535247854158
0,1075,23,0.17235535247854158
0,1076,22,0.17251568303898673
0,1076,22,0.17251568303898673
0,1076,22,0.17251568303898673
0,1078,20,0.17283634415987703
7,1067,24,0.1710727079949803
35,1021,42,0.16369750221450322
20,1005,73,0.16113221324738072
0,1006,92,0.16129254380782587
0,1007,91,0.16145287436827102
0,1013,85,0.16241485773094197
0,1015,83,0.16273551885183227
0,1018,80,0.16321651053316774
0,1021,77,0.16369750221450322
0,1021,77,0.16369750221450322
0,1024,74,0.16417849389583866
0,1026,72,0.164499155016729
0,1028,70,0.16481981613761928
0,1029,69,0.16498014669806443
0,1031,67,0.16530080781895473
0,1036,62,0.16610246062118053
2,1039,57,0.166583452302516
0,1041,57,0.16690411342340633
0,1042,56,0.16706444398385145
0,1044,54,0.16738510510474175
0,1048,50,0.1680264273465224
0,1052,46,0.16866774958830302
0,1056,42,0.16930907183008362
0,1057,41,0.1694694023905288
0,1059,39,0.1697900635114191
0,1062,36,0.17027105519275454
1,1063,34,0.17043138575319972
34,1022,42,0.16385783277494836
54,970,74,0.1555206436318003
33,951,114,0.15247436298334235
3,958,137,0.15359667690645845
1,968,129,0.15519998251091
0,972,126,0.1558413047526906
1,979,118,0.1569636186758067
0,985,113,0.1579256020384776
0,991,107,0.15888758540114856
0,994,104,0.159368577082484
1,998,99,0.16000989932426465
0,1001,97,0.1604908910056001
0,1005,93,0.16113221324738072
3,1008,87,0.1616132049287162
2,1015,81,0.16273551885183227
0,1015,83,0.16273551885183227
0,1018,80,0.16321651053316774
0,1022,76,0.16385783277494836
0,1022,76,0.16385783277494836
0,1026,72,0.164499155016729
1,1027,70,0.16465948557717414
0,1028,70,0.16481981613761928
1,1032,65,0.16546113837939994
0,1037,61,0.16626279118162568
1,1039,58,0.166583452302516
1,1045,52,0.16754543566518693
0,1051,47,0.16850741902785785
