active,quiet,arrested,tension
0,1264,0,0.2803121959333565
159,1043,62,0.23130191484057816
423,703,138,0.15590148239015
592,460,212,0.10201234978587341
535,445,284,0.09868586011894276
471,443,350,0.098242328163352
395,447,422,0.09912939207453351
328,453,483,0.10045998794130577
257,466,541,0.10334294565264568
177,491,596,0.1088870950975301
88,530,646,0.11753596823154981
14,578,672,0.1281807351657279
0,613,651,0.13594254438856607
0,637,627,0.14126492785565514
1,654,609,0.14503494947817655
0,681,583,0.1510226308786517
0,705,559,0.15634501434574075
5,714,545,0.15834090814589916
7,726,531,0.16100209987944367
24,727,513,0.16122386585723905
18,741,505,0.16432858954637433
12,754,498,0.16721154725771423
3,778,483,0.17253393072480327
1,807,456,0.17896514408086922
2,821,441,0.1820698677700045
4,848,412,0.18805754917047968
1,876,387,0.19426699654875024
3,890,371,0.19737172023788552
1,914,349,0.20269410370497457
2,941,321,0.2086817851054497
8,963,293,0.21356063661694802
40,928,296,0.20579882739410985
58,904,302,0.2004764439270208
49,911,304,0.2020288057715884
41,915,308,0.20291586968276992
68,876,320,0.19426699654875024
67,855,342,0.18960991101504732
70,827,367,0.18340046363677676
60,806,398,0.17874337810307384
56,773,435,0.1714251008358264
37,773,454,0.1714251008358264
41,761,462,0.16876390910228187
35,765,464,0.16965097301346338
29,766,469,0.16987273899125876
31,764,469,0.16942920703566802
35,758,471,0.16809861116889574
33,760,471,0.16854214312448648
28,764,472,0.16942920703566802
8,782,474,0.1734209946359848
0,811,453,0.17985220799205073
2,823,439,0.18251339972559527
0,848,416,0.18805754917047968
1,869,394,0.1927146347041826
2,894,368,0.19825878414906703
0,907,357,0.20114174186040693
0,932,332,0.20668589130529136
2,962,300,0.21333887063915263
0,976,288,0.21644359432828794
0,1000,264,0.221765977795377
1,1020,243,0.2262012973512845
18,1009,237,0.22376187159553537
57,966,241,0.21422593455033415
76,925,263,0.20513352946072372
61,913,290,0.20247233772717918
26,926,312,0.20535529543851908
6,944,314,0.20934708303883587
2,968,294,0.2146694665059249
0,984,280,0.21821772215065097
0,1000,264,0.221765977795377
2,1013,249,0.22464893550671688
1,1026,237,0.22753189321805678
0,1040,224,0.2306366169071921
1,1052,211,0.23329780864073657
1,1059,204,0.23485017048530424
1,1067,196,0.2366242983076672
3,1070,191,0.23728959624105336
1,1078,185,0.2390637240634164
0,1083,181,0.2401725539523933
1,1090,173,0.24172491579696093
13,1079,172,0.23928549004121177
11,1072,181,0.2377331281966441
2,1080,182,0.23950725601900713
1,1085,178,0.24061608590798403
0,1093,171,0.24239021373034703
0,1098,166,0.24349904361932392
0,1101,163,0.24416434155271002
0,1109,155,0.24593846937507308
3,1119,142,0.24815612915302684
1,1125,138,0.2494867250197991
1,1133,130,0.2512608528421621
1,1141,122,0.2530349806645251
1,1147,116,0.2543655765312974
0,1152,112,0.25547440642027425
0,1161,103,0.2574703002204327
2,1171,91,0.25968795999838645
13,1154,97,0.255917938375865
34,1109,121,0.24593846937507308
78,1033,153,0.22908425506262442
134,930,200,0.2062423593497006
205,806,253,0.17874337810307384
266,679,319,0.15057909892306096
271,613,380,0.13594254438856607
259,568,437,0.12596307538777413
210,553,501,0.12263658572084346
155,555,554,0.12308011767643422
95,585,584,0.12973309701029553
38,616,610,0.13660784232195222
13,645,606,0.14303905567801817
6,664,594,0.14725260925613032
1,691,572,0.15324029065660552
1,713,550,0.15811914216810377
1,726,537,0.16100209987944367
2,745,517,0.16521565345755584
1,768,495,0.17031627094684954
3,786,475,0.1743080585471663
5,803,456,0.1780780801696877
2,820,442,0.18184810179220914
0,851,413,0.1887228471038658
4,869,391,0.1927146347041826
1,887,376,0.19670642230449936
3,913,348,0.20247233772717918
0,939,325,0.20823825314985897
0,963,301,0.21356063661694802
1,979,284,0.21710889226167407
1,998,265,0.22132244583978622
0,1022,242,0.22664482930687527
1,1039,224,0.23041485092939668
1,1061,202,0.23529370244089498
0,1079,185,0.23928549004121177
1,1108,155,0.2457167033972777
0,1123,141,0.24904319306420833
1,1141,122,0.2530349806645251
0,1153,111,0.2556961723980697
2,1158,104,0.25680500228704656
1,1165,98,0.2583573641316142
7,1163,94,0.2579138321760234
2,1165,97,0.2583573641316142
3,1163,98,0.2579138321760234
3,1154,107,0.255917938375865
7,1147,110,0.2543655765312974
93,1030,141,0.2284189571292383
142,932,190,0.20668589130529136
142,882,240,0.19559759241552252
167,795,302,0.1763039523473247
234,663,367,0.14703084327833496
249,588,427,0.13039839494368166
210,573,481,0.127071905276751
166,573,525,0.127071905276751
111,578,575,0.1281807351657279
